Rodada,EscanteioCasa,AtkPerigosoCasa,PosseCasa,Casa,ScoreCasa,X,ScoreVisitante,Visitante,PosseVisitante,AtkPerigosoVisitante,EscanteioVisitante
5,4,26,47,Santos,4,X,1,Cuiaba,53,45,8
5,12,95,77,Atletico GO,0,X,1,Goias,23,24,0
5,6,71,48,Palmeiras,1,X,1,Fluminense,52,20,3
5,10,57,52,Flamengo RJ,0,X,1,Botafogo RJ,48,31,4
5,4,33,40,Athletico-PR,1,X,0,Ceara,60,47,9
5,11,73,68,Atletico-MG,1,X,2,America MG,32,28,3
4,1,70,57,Sao Paulo,2,X,1,Santos,43,27,4
4,18,66,60,Internacional,0,X,0,Avai,40,17,2
4,9,42,56,Corinthians,1,X,0,Fortaleza,44,43,4
4,8,78,55,Coritiba,3,X,2,Fluminense,45,17,1
4,6,47,61,Botafogo RJ,1,X,1,Juventude,39,31,4
4,4,59,51,Cuiaba,1,X,1,Atletico GO,49,51,6
4,0,24,31,Goias,2,X,2,Atletico-MG,69,72,10
4,6,53,46,America MG,1,X,0,Athletico-PR,54,36,11
4,5,50,56,Ceara,0,X,1,Bragantino,44,32,4
3,3,38,41,Avai,3,X,2,Goias,59,39,5
3,2,34,37,Atletico GO,1,X,1,Botafogo RJ,63,58,7
3,6,43,57,Juventude,0,X,1,Cuiaba,43,30,7
3,3,33,39,Santos,3,X,0,America MG,61,73,8
3,3,60,61,Atletico-MG,2,X,2,Coritiba,39,35,3
3,5,46,57,Fluminense,0,X,1,Internacional,43,37,4
3,12,44,44,Palmeiras,3,X,0,Corinthians,56,42,4
3,6,43,41,Athletico-PR,1,X,0,Flamengo RJ,59,65,5
3,6,38,33,Bragantino,1,X,1,Sao Paulo,67,60,9
4,9,37,56,Flamengo RJ,0,X,0,Palmeiras,44,38,6
2,4,57,64,Ceara,1,X,3,Botafogo RJ,36,21,2
2,2,43,44,Athletico-PR,0,X,1,Atletico-MG,56,49,5
2,13,76,58,Bragantino,4,X,0,Atletico GO,42,22,2
2,8,39,51,Internacional,2,X,1,Fortaleza,49,28,5
2,2,47,53,Flamengo RJ,3,X,1,Sao Paulo,47,29,3
2,4,42,35,Santos,2,X,1,Coritiba,65,65,7
2,2,35,39,Cuiaba,0,X,1,Fluminense,61,37,5
2,5,53,46,America MG,4,X,1,Juventude,54,35,5
2,7,41,54,Corinthians,3,X,0,Avai,46,25,2
2,2,27,25,Goias,1,X,1,Palmeiras,75,88,6
1,5,79,50,Juventude,2,X,2,Bragantino,50,60,4
1,6,43,58,Avai,1,X,0,America MG,42,32,1
1,5,35,54,Sao Paulo,4,X,0,Athletico-PR,46,32,5
1,7,45,65,Fortaleza,0,X,1,Cuiaba,35,16,1
1,3,46,52,Atletico-MG,2,X,0,Internacional,48,36,3
1,2,46,56,Botafogo RJ,1,X,3,Corinthians,44,34,4
1,7,38,51,Coritiba,3,X,0,Goias,49,37,3
1,11,65,55,Palmeiras,2,X,3,Ceara,45,33,8
1,4,30,44,Atletico GO,1,X,1,Flamengo RJ,56,80,10
1,8,51,66,Fluminense,0,X,0,Santos,34,19,1
